State,Head of state (USD),Head of government (USD),Head of state salary divided by GDP [1 per million],Head of government salary divided by GDP [1 per million],Head of state salary divided by GDP per capita,Head of government salary divided by GDP per capita
Afghanistan,"13,400 USD (President)[3]",,0.6415,,22.7891,
Albania,"19,665 USD (President)[4]","20,400 USD (Prime Minister)[5]",1.5126,1.5691,4.2909,4.4512
Algeria,"168,000 USD (President)[6][7]","61,100 USD (Prime Minister)[8]",0.9423,,39.1426,
Andorra,,"82,800 USD (Prime Minister)[9]",,,,
Angola,"74,480 USD (President)[10]","61,330 USD (Vice President)[10]",0.4831,,13.6116,
Antigua and Barbuda,"40,225 USD  (Governor-General)[11]","55,504 USD  (Prime Minister)[12]",26.2052,26.0586,2.4084,2.3949
Argentina,"65,320 USD (President)[13]","65,320 USD (President)[13]",0.1024,,4.5151,
Armenia,"32,400 USD (President)[14]","29,570 USD (Prime Minister)[15]",2.9356,2.6792,8.3916,7.6586
Australia,"346,777 USD (Governor-General)[16]","384,767 USD (Prime Minister)[17]",0.3081,0.3678,7.6292,9.1073
Austria,"410,000 USD (President)[18]","328,600 USD (Chancellor)[18]",0.9836,0.7883,8.6699,6.9486
Azerbaijan,"225,000 USD (President)[19]","17,000 USD (Prime Minister)[20]",5.5323,,54.3347,
Bahamas,"37,000 USD (Governor-General)[21]","86,000 USD (Prime Minister)[22]",4.0539,9.4226,1.1838,2.7516
Bahrain,"22,400,000 USD (King) privy purse[23]","239,400 USD (Prime Minister)[24]",,6.8606,,9.963
Bangladesh,"17,100 USD (President)[25]","16,400 USD (Prime Minister)[25]",0.0654,0.0627,10.6742,10.2372
Barbados,"110,499 USD (Governor General)[26]","101,588 USD (Prime Minister)[27]",,21.072,,5.6883
Belarus,"33,600 USD (President)[28]",,0.6172,,5.8333,
Belgium,"14,454,440 USD (King) royal grant[18]","262,964 USD (Prime Minister)[18]",29.2166,0.5315,331.6608,6.0338
Belize,"26,241 USD (Governor-General)[29]","45,500 USD (Prime Minister)[30]",14.4261,25.0137,5.46,9.4673
Benin,"29,810 USD (President)[7]",,3.1679,,35.9157,
Bhutan,,"37,365 USD (Prime Minister)[31]",,16.0987,,12.8712
Bolivia,"39,924 USD (President)[32]","39,924 USD (President)[32]",1.0755,1.0755,11.9069,11.9069
Bosnia and Herzegovina,"42,650 USD (Presidency)[4]",,2.4431,,8.2832,
Botswana,"65,760 USD (President)[7]","65,760 USD (President)[7]",3.9318,3.9318,8.3484,8.3484
Brazil,"102,524 USD (President, 2019)[33][34]","102,524 USD (President, 2019)[33][34]",0.0584,0.0584,12.1273,12.1273
Brunei,"1,986,768,000 USD (Sultan)[35]","1,986,768,000 USD (Sultan)[35]",,,,
Bulgaria,"79,000 USD (President)[36]","50,000 USD (Prime Minister)[36]",1.3874,0.8781,9.7966,6.2004
Burkina Faso,"33,810 USD (President)[7][37]","17,477 USD (Prime Minister)[37]",2.5639,,50.9187,
